backend,page,memory_usage,total_memory,processing_time
rapid,0,62.188,381.465,9.16
rapid,1,64.426,383.703,9.23
rapid,2,68.582,387.859,4.96
rapid,3,69.422,388.699,5.84
rapid,4,69.715,388.992,7.73
rapid,5,71.824,391.102,7.4
rapid,6,71.844,391.121,7.91
rapid,7,71.789,391.066,7.87
rapid,8,71.789,391.066,7.17
rapid,9,71.793,391.07,6.68
rapid,10,71.793,391.07,6.29
rapid,11,71.809,391.086,6.27
rapid,12,71.867,391.145,2.25
rapid,13,72.234,391.512,2.1
rapid,14,74.062,393.34,2.36
rapid,15,75.859,395.137,5.81
rapid,16,76.215,395.492,7.98
rapid,17,80.379,399.656,4.63
rapid,18,82.105,401.383,5.9
rapid,19,82.406,401.684,6.85
rapid,20,82.535,401.812,8.19
rapid,21,82.734,402.012,7.36
rapid,22,82.734,402.012,7.39
rapid,23,82.734,402.012,6.59
rapid,24,82.742,402.02,7.1
rapid,25,82.797,402.074,6.15
rapid,26,83.785,403.062,6.87
rapid,27,83.785,403.062,2.27
rapid,28,83.98,403.258,2.18
rapid,29,85.551,404.828,2.52
rapid,30,86.547,405.824,5.95
rapid,31,88.043,407.32,8.28
rapid,32,91.746,411.023,5.28
rapid,33,93.539,412.816,5.36
rapid,34,93.926,413.203,7.19
rapid,35,94.375,413.652,8.86
rapid,36,94.441,413.719,7.53
rapid,37,94.902,414.18,7.16
rapid,38,95.102,414.379,6.31
rapid,39,95.168,414.445,7.4
rapid,40,95.633,414.91,5.99
rapid,41,97.559,416.836,6.66
rapid,42,97.555,416.832,2.04
rapid,43,97.523,416.801,2.01
rapid,44,98.496,417.773,2.25
paddle,0,556.598,974.371,7.21
paddle,1,596.039,1013.812,4.75
paddle,2,615.484,1033.258,2.32
paddle,3,651.035,1068.809,2.93
paddle,4,680.996,1098.77,3.69
paddle,5,697.059,1114.832,3.92
paddle,6,706.727,1124.5,3.83
paddle,7,712.922,1130.695,3.82
paddle,8,720.48,1138.254,3.45
paddle,9,735.957,1153.73,3.47
paddle,10,745.254,1163.027,3.4
paddle,11,756.984,1174.758,3.47
paddle,12,761.605,1179.379,0.59
paddle,13,848.594,1266.367,0.69
paddle,14,859.227,1277.0,0.73
paddle,15,872.047,1289.82,3.07
paddle,16,885.992,1303.766,4.87
paddle,17,889.578,1307.352,2.42
paddle,18,894.211,1311.984,3.01
paddle,19,898.27,1316.043,3.78
paddle,20,901.898,1319.672,4.04
paddle,21,907.73,1325.504,3.95
paddle,22,912.215,1329.988,3.96
paddle,23,914.848,1332.621,3.55
paddle,24,924.457,1342.23,3.55
paddle,25,932.84,1350.613,3.51
paddle,26,941.395,1359.168,3.81
paddle,27,948.039,1365.812,0.59
paddle,28,955.562,1373.336,0.69
paddle,29,962.969,1380.742,0.76
paddle,30,974.238,1392.012,3.13
paddle,31,984.902,1402.676,4.9
paddle,32,988.137,1405.91,2.4
paddle,33,991.469,1409.242,3.05
paddle,34,995.633,1413.406,3.76
paddle,35,1000.375,1418.148,4.0
paddle,36,1005.496,1423.27,3.93
paddle,37,1008.105,1425.879,3.93
paddle,38,1011.211,1428.984,3.56
paddle,39,1022.043,1439.816,3.51
paddle,40,1028.391,1446.164,3.48
paddle,41,1038.062,1455.836,3.55
paddle,42,1040.688,1458.461,0.62
paddle,43,1051.09,1468.863,0.69
paddle,44,1060.168,1477.941,0.75
onnx,0,188.242,1666.184,4.27
onnx,1,308.738,1786.68,6.03
onnx,2,308.746,1786.688,3.21
onnx,3,308.746,1786.688,3.86
onnx,4,308.793,1786.734,4.85
onnx,5,308.82,1786.762,5.2
onnx,6,308.848,1786.789,5.11
onnx,7,308.863,1786.805,5.07
onnx,8,308.863,1786.805,4.63
onnx,9,308.863,1786.805,4.54
onnx,10,308.863,1786.805,4.21
onnx,11,308.863,1786.805,4.51
onnx,12,308.863,1786.805,0.81
onnx,13,308.863,1786.805,0.9
onnx,14,308.871,1786.812,0.92
onnx,15,311.496,1789.438,4.02
onnx,16,311.602,1789.543,6.04
onnx,17,311.602,1789.543,3.18
onnx,18,311.602,1789.543,4.09
onnx,19,311.602,1789.543,4.91
onnx,20,311.602,1789.543,5.55
onnx,21,311.602,1789.543,5.44
onnx,22,311.602,1789.543,5.12
onnx,23,311.602,1789.543,4.45
onnx,24,315.914,1793.855,4.48
onnx,25,315.914,1793.855,4.13
onnx,26,315.914,1793.855,4.58
onnx,27,315.914,1793.855,0.78
onnx,28,315.914,1793.855,0.88
onnx,29,315.922,1793.863,0.93
onnx,30,315.922,1793.863,4.07
onnx,31,315.922,1793.863,6.11
onnx,32,315.922,1793.863,3.21
onnx,33,315.922,1793.863,3.96
onnx,34,315.922,1793.863,4.8
onnx,35,315.922,1793.863,5.17
onnx,36,315.984,1793.926,5.07
onnx,37,315.984,1793.926,5.16
onnx,38,315.984,1793.926,4.52
onnx,39,316.016,1793.957,4.52
onnx,40,316.016,1793.957,4.17
onnx,41,316.016,1793.957,4.39
onnx,42,316.016,1793.957,0.79
onnx,43,316.016,1793.957,0.91
onnx,44,316.023,1793.965,0.95
