backend,page,memory_usage,total_memory,processing_time
rapid,0,63.105,382.078,7.74
rapid,1,64.004,382.977,9.16
rapid,2,68.691,387.664,4.74
rapid,3,69.645,388.617,5.64
rapid,4,70.105,389.078,6.83
rapid,5,72.184,391.156,6.88
rapid,6,72.199,391.172,7.31
rapid,7,72.195,391.168,6.91
rapid,8,72.137,391.109,7.24
rapid,9,72.148,391.121,6.28
rapid,10,72.148,391.121,5.94
rapid,11,72.148,391.121,6.58
rapid,12,72.199,391.172,2.12
rapid,13,72.82,391.793,2.34
rapid,14,74.328,393.301,2.37
rapid,15,75.273,394.246,5.61
rapid,16,76.215,395.188,7.76
rapid,17,80.656,399.629,4.64
rapid,18,82.051,401.023,5.27
rapid,19,82.586,401.559,6.68
rapid,20,82.715,401.688,9.11
rapid,21,83.023,401.996,6.99
rapid,22,83.082,402.055,6.85
rapid,23,83.484,402.457,7.29
rapid,24,83.559,402.531,7.24
rapid,25,83.609,402.582,6.41
rapid,26,85.602,404.574,6.81
rapid,27,85.602,404.574,2.6
rapid,28,85.562,404.535,2.46
rapid,29,86.543,405.516,1.85
rapid,30,87.949,406.922,5.97
rapid,31,88.945,407.918,7.99
rapid,32,92.73,411.703,4.56
rapid,33,94.574,413.547,5.44
rapid,34,94.906,413.879,7.72
rapid,35,95.0,413.973,7.77
rapid,36,95.0,413.973,7.18
rapid,37,95.266,414.238,7.22
rapid,38,95.266,414.238,6.58
rapid,39,95.281,414.254,6.87
rapid,40,95.68,414.652,6.13
rapid,41,96.953,415.926,6.84
rapid,42,97.035,416.008,2.05
rapid,43,97.793,416.766,2.29
rapid,44,99.422,418.395,2.17
paddle,0,784.297,1202.691,12.67
paddle,1,947.402,1365.797,6.17
paddle,2,1014.516,1432.91,3.08
paddle,3,1114.613,1533.008,4.06
paddle,4,1172.434,1590.828,4.91
paddle,5,1259.957,1678.352,5.17
paddle,6,1216.336,1634.73,5.08
paddle,7,1163.676,1582.07,4.99
paddle,8,1140.449,1558.844,4.55
paddle,9,1194.27,1612.664,4.54
paddle,10,1226.27,1644.664,4.52
paddle,11,1262.352,1680.746,4.64
paddle,12,1308.922,1727.316,0.93
paddle,13,1429.336,1847.73,1.03
paddle,14,1494.246,1912.641,1.01
paddle,15,1532.734,1951.129,3.91
paddle,16,1562.418,1980.812,6.15
paddle,17,1534.781,1953.176,3.07
paddle,18,1577.219,1995.613,3.85
paddle,19,1431.156,1849.551,4.73
paddle,20,1315.699,1734.094,5.19
paddle,21,1315.551,1733.945,5.08
paddle,22,1290.094,1708.488,4.98
paddle,23,1244.465,1662.859,4.45
paddle,24,1376.656,1795.051,4.41
paddle,25,1338.785,1757.18,4.35
paddle,26,1366.316,1784.711,4.48
paddle,27,1436.789,1855.184,0.84
paddle,28,1501.402,1919.797,0.94
paddle,29,1629.195,2047.59,1.02
paddle,30,1597.73,2016.125,3.9
paddle,31,1622.699,2041.094,6.14
paddle,32,1590.953,2009.348,3.05
paddle,33,1502.91,1921.305,3.78
paddle,34,1482.98,1901.375,4.71
paddle,35,1475.488,1893.883,5.13
paddle,36,1435.918,1854.312,4.98
paddle,37,1391.734,1810.129,4.96
paddle,38,1353.617,1772.012,4.5
paddle,39,1398.383,1816.777,4.38
paddle,40,1421.715,1840.109,4.51
paddle,41,1451.48,1869.875,4.59
paddle,42,1485.016,1903.41,0.86
paddle,43,1536.156,1954.551,0.89
paddle,44,1592.473,2010.867,1.02
onnx,0,181.863,2192.73,4.33
onnx,1,302.668,2313.535,6.11
onnx,2,302.734,2313.602,3.19
onnx,3,302.742,2313.609,3.88
onnx,4,302.742,2313.609,4.83
onnx,5,302.742,2313.609,5.19
onnx,6,302.812,2313.68,5.13
onnx,7,302.812,2313.68,5.09
onnx,8,302.812,2313.68,4.55
onnx,9,302.828,2313.695,4.53
onnx,10,302.828,2313.695,4.19
onnx,11,302.828,2313.695,4.44
onnx,12,302.828,2313.695,0.82
onnx,13,302.828,2313.695,0.92
onnx,14,302.836,2313.703,0.94
onnx,15,305.398,2316.266,4.0
onnx,16,305.398,2316.266,6.0
onnx,17,305.398,2316.266,3.22
onnx,18,305.398,2316.266,3.93
onnx,19,305.398,2316.266,4.81
onnx,20,305.398,2316.266,5.19
onnx,21,305.398,2316.266,5.09
onnx,22,305.398,2316.266,5.29
onnx,23,305.398,2316.266,4.62
onnx,24,309.711,2320.578,4.52
onnx,25,309.711,2320.578,4.26
onnx,26,309.711,2320.578,4.43
onnx,27,309.711,2320.578,0.8
onnx,28,309.711,2320.578,0.9
onnx,29,309.711,2320.578,0.96
onnx,30,309.742,2320.609,4.0
onnx,31,309.742,2320.609,6.06
onnx,32,309.742,2320.609,3.17
onnx,33,309.742,2320.609,3.91
onnx,34,309.742,2320.609,4.84
onnx,35,309.742,2320.609,5.19
onnx,36,309.742,2320.609,5.1
onnx,37,309.75,2320.617,5.11
onnx,38,309.75,2320.617,4.54
onnx,39,309.75,2320.617,4.54
onnx,40,309.75,2320.617,4.21
onnx,41,309.75,2320.617,4.42
onnx,42,309.75,2320.617,0.81
onnx,43,309.75,2320.617,0.91
onnx,44,309.75,2320.617,0.93
