backend,page,memory_usage,total_memory,processing_time
rapid,0,639.594,956.891,7.17
rapid,1,685.891,1003.188,10.2
rapid,2,699.031,1016.328,5.55
rapid,3,700.438,1017.734,6.61
rapid,4,708.859,1026.156,8.33
rapid,5,713.469,1030.766,8.83
rapid,6,723.0,1040.297,8.55
rapid,7,723.141,1040.438,8.69
rapid,8,723.234,1040.531,8.22
rapid,9,723.266,1040.562,7.79
rapid,10,723.312,1040.609,7.17
rapid,11,723.344,1040.641,7.48
rapid,12,724.125,1041.422,2.14
rapid,13,725.297,1042.594,2.06
rapid,14,726.438,1043.734,2.0
rapid,15,726.562,1043.859,6.77
rapid,16,728.984,1046.281,10.07
rapid,17,728.984,1046.281,5.48
rapid,18,729.062,1046.359,6.58
rapid,19,729.156,1046.453,8.36
rapid,20,731.234,1048.531,8.69
rapid,21,732.141,1049.438,8.63
rapid,22,732.219,1049.516,8.46
rapid,23,732.234,1049.531,7.87
rapid,24,732.234,1049.531,7.62
rapid,25,732.25,1049.547,7.21
rapid,26,732.281,1049.578,7.47
rapid,27,733.031,1050.328,2.16
rapid,28,734.219,1051.516,2.07
rapid,29,735.328,1052.625,2.02
rapid,30,735.75,1053.047,6.77
rapid,31,737.688,1054.984,10.03
rapid,32,743.375,1060.672,5.45
rapid,33,748.859,1066.156,6.44
rapid,34,748.875,1066.172,8.13
rapid,35,749.281,1066.578,8.54
rapid,36,749.328,1066.625,8.85
rapid,37,754.922,1072.219,8.34
rapid,38,754.922,1072.219,7.95
rapid,39,754.938,1072.234,7.51
rapid,40,754.938,1072.234,6.99
rapid,41,755.281,1072.578,7.22
rapid,42,756.016,1073.312,2.1
rapid,43,757.219,1074.516,2.07
rapid,44,758.359,1075.656,2.0
paddle,0,633.484,1709.141,14.63
paddle,1,684.203,1759.859,20.94
paddle,2,686.266,1761.922,9.85
paddle,3,650.047,1725.703,12.43
paddle,4,664.734,1740.391,15.78
paddle,5,658.906,1734.562,16.75
paddle,6,640.672,1716.328,16.75
paddle,7,647.656,1723.312,16.81
paddle,8,650.406,1726.062,14.99
paddle,9,650.594,1726.25,14.53
paddle,10,670.875,1746.531,14.44
paddle,11,672.047,1747.703,14.89
paddle,12,672.969,1748.625,1.9
paddle,13,584.078,1659.734,2.05
paddle,14,539.281,1614.938,2.2
paddle,15,546.391,1622.047,12.6
paddle,16,544.469,1620.125,20.62
paddle,17,549.516,1625.172,9.8
paddle,18,552.312,1627.969,12.51
paddle,19,552.609,1628.266,15.94
paddle,20,552.906,1628.562,16.29
paddle,21,553.953,1629.609,15.97
paddle,22,560.297,1635.953,15.85
paddle,23,566.734,1642.391,14.13
paddle,24,566.969,1642.625,13.78
paddle,25,567.266,1642.922,13.66
paddle,26,709.141,1784.797,14.17
paddle,27,709.844,1785.5,1.8
paddle,28,711.109,1786.766,1.87
paddle,29,712.25,1787.906,2.04
paddle,30,712.359,1788.016,11.96
paddle,31,712.641,1788.297,19.33
paddle,32,713.469,1789.125,23.74
paddle,33,585.828,1661.484,12.07
paddle,34,621.062,1696.719,14.86
paddle,35,633.062,1708.719,15.89
paddle,36,633.078,1708.734,15.66
paddle,37,650.812,1726.469,15.78
paddle,38,650.875,1726.531,14.1
paddle,39,666.484,1742.141,13.87
paddle,40,666.469,1742.125,13.75
paddle,41,666.781,1742.438,13.97
paddle,42,667.609,1743.266,1.81
paddle,43,669.188,1744.844,1.87
paddle,44,670.484,1746.141,2.04
onnx,0,174.172,1920.312,5.8
onnx,1,299.25,2045.391,8.64
onnx,2,306.375,2052.516,4.44
onnx,3,307.531,2053.672,5.5
onnx,4,306.594,2052.734,6.92
onnx,5,309.172,2055.312,7.39
onnx,6,302.469,2048.609,7.26
onnx,7,302.547,2048.688,7.29
onnx,8,302.562,2048.703,6.46
onnx,9,302.562,2048.703,6.46
onnx,10,302.75,2048.891,5.95
onnx,11,304.844,2050.984,6.3
onnx,12,304.953,2051.094,0.99
onnx,13,304.969,2051.109,1.1
onnx,14,305.047,2051.188,1.13
onnx,15,307.531,2053.672,5.69
onnx,16,314.875,2061.016,8.62
onnx,17,314.969,2061.109,4.47
onnx,18,314.875,2061.016,5.48
onnx,19,314.891,2061.031,6.88
onnx,20,314.938,2061.078,7.41
onnx,21,314.969,2061.109,7.26
onnx,22,330.203,2076.344,7.29
onnx,23,330.203,2076.344,6.48
onnx,24,334.516,2080.656,6.41
onnx,25,334.516,2080.656,5.99
onnx,26,334.516,2080.656,6.3
onnx,27,334.609,2080.75,1.0
onnx,28,334.609,2080.75,1.08
onnx,29,334.641,2080.781,1.13
onnx,30,341.578,2087.719,5.66
onnx,31,341.703,2087.844,8.62
onnx,32,341.797,2087.938,4.49
onnx,33,341.703,2087.844,5.51
onnx,34,341.703,2087.844,6.88
onnx,35,341.703,2087.844,7.42
onnx,36,341.703,2087.844,7.3
onnx,37,341.703,2087.844,7.3
onnx,38,341.703,2087.844,6.5
onnx,39,341.703,2087.844,6.39
onnx,40,341.703,2087.844,5.98
onnx,41,341.703,2087.844,6.33
onnx,42,341.797,2087.938,0.98
onnx,43,341.812,2087.953,1.08
onnx,44,341.844,2087.984,1.13
